   #FPRO  FPROA   GMAX  CTEMP  X NUCLEUS  FSON      XEQ    XEQ50   FTO      XTO     VOLF    X44      XTO400       SHEART     DIFFT   
  -2138. -2600. -3034.  200.  0.62E-07  -3010.   0.1978   0.1877 -1402.  0.0838   0.8207 0.570E-01  0.0652  6   0.21E+05   0.27E+24
  -2105. -2564. -3005.  205.  0.77E-07  -2973.   0.1964   0.1863 -1375.  0.0839   0.8194 0.564E-01  0.0651  2   0.14E+05   0.71E+23
  -2073. -2529. -2968.  210.  0.94E-07  -2937.   0.1951   0.1848 -1349.  0.0835   0.8181 0.559E-01  0.0640  5   0.97E+04   0.19E+23
  -2040. -2493. -2928.  215.  0.12E-06  -2900.   0.1937   0.1833 -1323.  0.0824   0.8168 0.553E-01  0.0634  3   0.69E+04   0.53E+22
  -2008. -2457. -2885.  220.  0.14E-06  -2864.   0.1923   0.1818 -1297.  0.0814   0.8155 0.547E-01  0.0629  3   0.49E+04   0.15E+22
  -1976. -2421. -2853.  225.  0.17E-06  -2827.   0.1910   0.1803 -1270.  0.0803   0.8142 0.542E-01  0.0623  3   0.35E+04   0.45E+21
  -1943. -2386. -2818.  230.  0.21E-06  -2791.   0.1896   0.1788 -1244.  0.0795   0.8128 0.536E-01  0.0617  3   0.26E+04   0.13E+21
  -1911. -2350. -2778.  235.  0.25E-06  -2755.   0.1882   0.1772 -1218.  0.0784   0.8114 0.530E-01  0.0610  3   0.19E+04   0.42E+20
  -1879. -2315. -2741.  240.  0.30E-06  -2718.   0.1868   0.1757 -1192.  0.0775   0.8100 0.525E-01  0.0603  3   0.14E+04   0.13E+20
  -1847. -2280. -2707.  245.  0.36E-06  -2682.   0.1854   0.1742 -1165.  0.0764   0.8085 0.519E-01  0.0594  4   0.10E+04   0.44E+19
  -1815. -2244. -2668.  250.  0.43E-06  -2646.   0.1840   0.1726 -1139.  0.0755   0.8070 0.513E-01  0.0588  3   0.79E+03   0.15E+19
  -1784. -2209. -2632.  255.  0.51E-06  -2609.   0.1826   0.1710 -1113.  0.0746   0.8055 0.508E-01  0.0578  4   0.60E+03   0.50E+18
  -1752. -2174. -2597.  260.  0.60E-06  -2573.   0.1811   0.1695 -1087.  0.0737   0.8040 0.503E-01  0.0570  4   0.46E+03   0.18E+18
  -1720. -2139. -2565.  265.  0.71E-06  -2537.   0.1797   0.1679 -1061.  0.0727   0.8024 0.497E-01  0.0561  4   0.36E+03   0.63E+17
  -1689. -2104. -2523.  270.  0.84E-06  -2500.   0.1783   0.1663 -1034.  0.0712   0.8008 0.491E-01  0.0552  4   0.28E+03   0.23E+17
  -1657. -2069. -2486.  275.  0.98E-06  -2464.   0.1768   0.1647 -1008.  0.0707   0.7992 0.486E-01  0.0544  4   0.22E+03   0.89E+16
